time,x1,x2,appliedInput,integratedCost
0.6,0.521090874878944,-0.615280614754281,0.544606410787696,0.979319333482964
0.62,0.508893746689921,-0.604454054354923,0.538051386293817,0.997923035615455
0.64,0.496911839444095,-0.593758481575963,0.531508018070434,1.01587947163016
0.66,0.485142535866691,-0.583193641402131,0.524978481692916,1.03320838545099
0.68,0.473583224213023,-0.572759236104931,0.518464873225068,1.04992902727516
0.7,0.462231299106984,-0.562454926813988,0.51196921110229,1.0660601617045
0.72,0.451084162348475,-0.55228033505106,0.505493437981135,1.0816200759183
0.74,0.440139223690536,-0.542235044227398,0.499039422555688,1.09662658787807
0.76,0.429393901586876,-0.532318601105109,0.492608961341175,1.11109705455455
0.78,0.418845623910545,-0.522530517223159,0.486203780425224,1.12504838016823
0.8,0.408491828644417,-0.512870270288687,0.479825537187184,1.13849702443463
0.82,0.398329964544208,-0.503337305534235,0.473475821985918,1.15145901080625
0.84,0.388357491774668,-0.493931037041542,0.467156159816479,1.16394993470339
0.86,0.378571882519634,-0.484650849032507,0.460868011936073,1.17598497172631
0.88,0.368970621566588,-0.475496097127944,0.454612777459727,1.18757888584186
0.9,0.359551206866357,-0.466466109574713,0.44839179492605,1.19874603753769
0.92,0.350311150068573,-0.457560188441843,0.4422063438335,1.20950039193791
0.94,0.341247977033529,-0.448777610786206,0.436057646147562,1.21985552687404
0.96,0.332359228321013,-0.440117629788356,0.429946867779219,1.22982464090569
0.98,0.323642459656718,-0.431579475859058,0.423875120035127,1.23942056128558
1,0.315095242376815,-0.423162357717117,0.417843461039878,1.24865575186394
1.02,0.306715163851248,-0.414865463439018,0.41185289713075,1.25754232092759
1.04,0.298499827886315,-0.406687961480956,0.405904384225325,1.26609202896918
1.06,0.29044685510708,-0.398629001673774,0.399998829162366,1.27431629638268
1.08,0.282553883320152,-0.390687716191354,0.394137091016333,1.28222621108101
1.1,0.274818567857356,-0.38286322049297,0.388319982385924,1.2898325360325
1.12,0.267238581900817,-0.375154614240135,0.382548270657009,1.29714571671277
1.14,0.259811616789957,-0.367560982188439,0.376822679240348,1.30417588846886
1.16,0.252535382310894,-0.360081395054878,0.371143888784445,1.31093288379307
1.18,0.245407606968746,-0.352714910361179,0.365512538363927,1.31742623950367
1.2,0.2384260382433,-0.345460573253592,0.359929226643801,1.32366520383028
1.22,0.231588442828511,-0.33831741729964,0.354394513019957,1.32965874340181
1.24,0.224892606856303,-0.331284465262291,0.348908918736281,1.33541555013495
1.26,0.218336336105101,-0.324360729852018,0.343472927978726,1.34094404802153
1.28,0.211917456193539,-0.317545214457208,0.338086988946709,1.34625239981327
1.3,0.205633812759779,-0.310836913853364,0.332751514902167,1.35134851360256
1.32,0.199483271626845,-0.304234814891549,0.327466885196639,1.35624004929806
1.34,0.193463718954403,-0.297737897166501,0.322233446276704,1.36093442499424
1.36,0.187573061377367,-0.291345133664859,0.317051512668124,1.36543882323389
1.38,0.181809226131745,-0.28505549139391,0.311921367939029,1.3697601971631
1.4,0.176170161168094,-0.278867931991283,0.306843265642479,1.37390527657803
1.42,0.170653835252977,-0.272781412315994,0.301817430238729,1.37788057386321
1.44,0.165258238058773,-0.266794885021248,0.296844057997535,1.38169238982099
1.46,0.159981380242216,-0.260907299109387,0.29192331788082,1.38534681939223
1.48,0.154821293512009,-0.255117600469381,0.287055352406024,1.38884975726798
1.5,0.149776030685858,-0.249424732397246,0.282240278490451,1.39220690339245
1.52,0.144843665737266,-0.243827636099756,0.277478188276936,1.39542376835748
1.54,0.140022293832419,-0.238325251181833,0.272769149941138,1.39850567868872
1.56,0.135310031357483,-0.232916516117962,0.268113208480772,1.40145778202407
1.58,0.130705015936623,-0.227600368708013,0.263510386487073,1.40428505218486
1.6,0.126205406441073,-0.222375746517795,0.258960684898814,1.4069922941404
1.62,0.121809382989531,-0.217241587304715,0.254464083739154,1.40958414886647
1.64,0.117515146940192,-0.212196829428857,0.250020542835623,1.4120650980987
